block,plot,nrate,segment,segment_mass,average_total_stem_mass,segment_mass_fraction,stem_count
1,7,0,4,1.31,58.625,0.0223454157782516,53
1,7,0,8,1.1425,58.625,0.019488272921108742,53
1,7,0,12,1.1375,58.625,0.019402985074626865,53
1,7,0,16,1.12,58.625,0.0191044776119403,53
1,7,0,20,1.365,58.625,0.023283582089552238,53
1,7,0,24,1.235,58.625,0.021066098081023457,53
1,7,0,28,1.1725,58.625,0.02,53
1,7,0,32,1.0775,58.625,0.01837953091684435,53
1,7,0,36,1.025,58.625,0.017484008528784647,53
1,7,0,40,1.05,58.625,0.01791044776119403,53
1,7,0,44,1.325,58.625,0.022601279317697228,53
1,9,224,4,1.2225,53.75,0.022744186046511627,30
1,9,224,8,1.2975,53.75,0.02413953488372093,30
1,9,224,12,1.185,53.75,0.022046511627906978,30
1,9,224,16,1.0875,53.75,0.02023255813953488,30
1,9,224,20,1.0825,53.75,0.02013953488372093,30
1,9,224,24,1.2425,53.75,0.023116279069767442,30
1,9,224,28,1.355,53.75,0.025209302325581395,30
1,9,224,32,1.0675,53.75,0.019860465116279067,30
1,9,224,36,0.975,53.75,0.01813953488372093,30
1,9,224,40,1,53.75,0.018604651162790697,30
1,9,224,44,0.975,53.75,0.01813953488372093,30
2,18,224,4,0.875,35.275,0.024805102763997167,48
2,18,224,8,0.9,35.275,0.025513819985825657,48
2,18,224,12,0.775,35.275,0.021970233876683204,48
2,18,224,16,0.675,35.275,0.019135364989369245,48
2,18,224,20,0.65,35.275,0.018426647767540754,48
2,18,224,24,0.75,35.275,0.021261516654854713,48
2,18,224,28,0.675,35.275,0.019135364989369245,48
2,18,224,32,0.725,35.275,0.020552799433026223,48
2,18,224,36,0.6,35.275,0.01700921332388377,48
2,18,224,40,0.575,35.275,0.01630049610205528,48
2,18,224,44,0.6,35.275,0.01700921332388377,48
2,19,0,4,1.25,53.25,0.023474178403755867,44
2,19,0,8,1.05,53.25,0.01971830985915493,44
2,19,0,12,0.975,53.25,0.018309859154929577,44
2,19,0,16,1.025,53.25,0.01924882629107981,44
2,19,0,20,1.05,53.25,0.01971830985915493,44
2,19,0,24,1.125,53.25,0.02112676056338028,44
2,19,0,28,1.075,53.25,0.020187793427230045,44
2,19,0,32,0.925,53.25,0.017370892018779345,44
2,19,0,36,0.9,53.25,0.016901408450704227,44
2,19,0,40,1,53.25,0.018779342723004695,44
2,19,0,44,1.1,53.25,0.020657276995305167,44
3,39,0,4,1.5525,46.375,0.033477088948787065,47
3,39,0,8,1.065,46.375,0.02296495956873315,47
3,39,0,12,1.02,46.375,0.021994609164420486,47
3,39,0,16,1.165,46.375,0.025121293800539086,47
3,39,0,20,1.065,46.375,0.02296495956873315,47
3,39,0,24,1.2225,46.375,0.02636118598382749,47
3,39,0,28,0.955,46.375,0.02059299191374663,47
3,39,0,32,0.8775,46.375,0.018921832884097035,47
3,39,0,36,1.0225,46.375,0.02204851752021563,47
3,39,0,40,0.96,46.375,0.020700808625336926,47
3,39,0,44,0.87,46.375,0.01876010781671159,47
3,40,224,4,1.3525,74.125,0.01824620573355818,46
3,40,224,8,1.8125,74.125,0.024451939291736932,46
3,40,224,12,1.5425,74.125,0.020809443507588534,46
3,40,224,16,1.435,74.125,0.019359190556492413,46
3,40,224,20,1.3625,74.125,0.018381112984822937,46
3,40,224,24,1.51,74.125,0.020370994940978077,46
3,40,224,28,2.1075,74.125,0.028431703204047216,46
3,40,224,32,0.915,74.125,0.012344013490725126,46
3,40,224,36,1.27,74.125,0.017133220910623945,46
3,40,224,40,1.22,74.125,0.016458684654300167,46
3,40,224,44,1.2225,74.125,0.016492411467116358,46
4,56,0,4,0.8025,25.125,0.03194029850746269,51
4,56,0,8,0.6225,25.125,0.024776119402985075,51
4,56,0,12,0.585,25.125,0.023283582089552238,51
4,56,0,16,0.68,25.125,0.027064676616915424,51
4,56,0,20,0.6475,25.125,0.025771144278606963,51
4,56,0,24,0.5625,25.125,0.022388059701492536,51
4,56,0,28,0.565,25.125,0.022487562189054726,51
4,56,0,32,0.6075,25.125,0.024179104477611943,51
4,56,0,36,0.56,25.125,0.02228855721393035,51
4,56,0,40,0.5225,25.125,0.020796019900497512,51
4,56,0,44,0.5825,25.125,0.02318407960199005,51
4,60,224,4,1.3775,61.875,0.02226262626262626,46
4,60,224,8,1.2025,61.875,0.019434343434343433,46
4,60,224,12,1.4325,61.875,0.023151515151515152,46
4,60,224,16,1.355,61.875,0.021898989898989897,46
4,60,224,20,1.2825,61.875,0.020727272727272726,46
4,60,224,24,1.2375,61.875,0.02,46
4,60,224,28,1.295,61.875,0.02092929292929293,46
4,60,224,32,1.31,61.875,0.02117171717171717,46
4,60,224,36,1.2775,61.875,0.02064646464646465,46
4,60,224,40,1.395,61.875,0.022545454545454546,46
4,60,224,44,1.075,61.875,0.017373737373737375,46
