date,field_id,sample_id,stem_number,stem_height,baled
4/15/22,field_1,1,1,19,FALSE
4/15/22,field_1,1,2,33,FALSE
4/15/22,field_1,1,3,27,FALSE
4/15/22,field_1,1,4,31,FALSE
4/15/22,field_1,2,1,40,FALSE
4/15/22,field_1,2,2,37,FALSE
4/15/22,field_1,2,3,36,FALSE
4/15/22,field_1,2,4,31,FALSE
4/15/22,field_1,3,1,34,FALSE
4/15/22,field_1,3,2,30,FALSE
4/15/22,field_1,3,3,28,FALSE
4/15/22,field_1,3,4,33,FALSE
4/15/22,field_2,1,1,37,FALSE
4/15/22,field_2,1,2,38,FALSE
4/15/22,field_2,1,3,36,FALSE
4/15/22,field_2,1,4,35,FALSE
4/15/22,field_2,2,1,24,TRUE
4/15/22,field_2,2,2,15,TRUE
4/15/22,field_2,2,3,10,TRUE
4/15/22,field_2,2,4,14,TRUE
4/15/22,field_2,3,1,27,TRUE
4/15/22,field_2,3,2,20,TRUE
4/15/22,field_2,3,3,12,TRUE
4/15/22,field_2,3,4,15,TRUE
4/15/22,field_3,1,1,29,FALSE
4/15/22,field_3,1,2,30,FALSE
4/15/22,field_3,1,3,24,FALSE
4/15/22,field_3,1,4,24,FALSE
4/15/22,field_3,2,1,30,FALSE
4/15/22,field_3,2,2,31,FALSE
4/15/22,field_3,2,3,28,FALSE
4/15/22,field_3,2,4,26,FALSE
4/15/22,field_3,3,1,26,FALSE
4/15/22,field_3,3,2,29,FALSE
4/15/22,field_3,3,3,34,FALSE
4/15/22,field_3,3,4,38,FALSE
4/15/22,field_4,1,1,26,FALSE
4/15/22,field_4,1,2,25,FALSE
4/15/22,field_4,1,3,29,FALSE
4/15/22,field_4,1,4,24,FALSE
4/15/22,field_4,2,1,38,FALSE
4/15/22,field_4,2,2,37,FALSE
4/15/22,field_4,2,3,40,FALSE
4/15/22,field_4,2,4,40,FALSE
4/15/22,field_4,3,1,31,FALSE
4/15/22,field_4,3,2,49,FALSE
4/15/22,field_4,3,3,30,FALSE
4/15/22,field_4,3,4,31,FALSE
