date,field_name,sample_id,stem_number,stem_height
4/15/22,freddies,1,1,19
4/15/22,freddies,1,2,33
4/15/22,freddies,1,3,27
4/15/22,freddies,1,4,31
4/15/22,freddies,2,1,40
4/15/22,freddies,2,2,37
4/15/22,freddies,2,3,36
4/15/22,freddies,2,4,31
4/15/22,freddies,3,1,34
4/15/22,freddies,3,2,30
4/15/22,freddies,3,3,28
4/15/22,freddies,3,4,33
4/15/22,solomon,1,1,37
4/15/22,solomon,1,2,38
4/15/22,solomon,1,3,36
4/15/22,solomon,2,1,24
4/15/22,solomon,2,2,15
4/15/22,solomon,2,3,10
4/15/22,solomon,2,4,14
4/15/22,dahlen,1,1,29
4/15/22,dahlen,1,2,30
4/15/22,dahlen,1,3,24
4/15/22,dahlen,1,4,24
4/15/22,dahlen,2,1,30
4/15/22,dahlen,2,2,31
4/15/22,dahlen,2,3,28
4/15/22,dahlen,2,4,26
4/15/22,dahlen,3,1,26
4/15/22,dahlen,3,2,29
4/15/22,dahlen,3,3,34
4/15/22,ui_melrose,1,1,26
4/15/22,ui_melrose,1,2,25
4/15/22,ui_melrose,1,3,29
4/15/22,ui_melrose,1,4,24
4/15/22,ui_melrose,2,1,38
4/15/22,ui_melrose,2,2,37
4/15/22,ui_melrose,2,3,40
4/15/22,ui_melrose,2,4,40
4/15/22,ui_melrose,3,1,31
4/15/22,ui_melrose,3,2,49
4/15/22,ui_melrose,3,3,30
4/15/22,ui_melrose,3,4,31
