"Site","SamplingDate","PlantYr","Nrate","Block","Plot","DryBM.Mg.ha.","Nrate.IS","Wp","GrowingSeason","GS","StandAge","GS.Age.ID","GS.Age.Wp.ID","Location"
"Allee",2016-04-04,"2015 PlantYear",100,"I",1,4.096,112,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",300,"I",2,7.008,336,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",400,"I",3,6.272,448,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",0,"I",4,9.019,0,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",200,"I",5,7.787,224,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",100,"II",26,8.157,112,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",400,"II",27,7.06,448,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",0,"II",28,8.97,0,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",300,"II",29,6.4895,336,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",200,"II",30,9.889,224,"II 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpII 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",100,"III",41,4.846,112,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",300,"III",42,8.042,336,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",200,"III",43,5.899,224,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",0,"III",44,7.289,0,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",400,"III",45,7.102,448,"III 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIII 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",300,"IV",51,6.409,336,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",100,"IV",52,9.145,112,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",400,"IV",53,7.607,448,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",200,"IV",54,6.211,224,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","NW Iowa"
"Allee",2016-04-04,"2015 PlantYear",0,"IV",55,9.934,0,"IV 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpIV 2015","NW Iowa"
"SERF",2016-02-22,"2015 PlantYear",100,"I",1,3.886,112,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","SE Iowa"
"SERF",2016-02-22,"2015 PlantYear",300,"I",2,5.952,336,"I 2015","2015 GrowingSeason","2015 GS","1 yr old","2015 GS - 1 yr old","2015 GS - 1 yr old x WpI 2015","SE Iowa"
